Código Institución,Nombre Institución,Número Identificación Tributaria - NIT,Principal/Seccional,Naturaleza Jurídica,Sector,Carácter Académico,Cod Departamento,Departamento Domicilio,Cod Municipio,Municipio Domicilio,Dirección Domicilio,Teléfono Domicilio,Norma de Creación,Fecha Norma de Creación,¿Acreditada Alta Calidad?,Fecha Acreditación,Resolución de la acreditación,Vigencia de la acreditación,Estado,Fecha Actualizacion,Página Web
1112,UNIVERSIDAD DE CALDAS,890.801.063,Principal,Nacional,Oficial,Universidad,Caldas,Caldas,,Manizales,Calle 65  26-10,8861250,Ordenanza 6 Asamblea Departamental de Caldas,1943-05-24,SI,2018-10-24,17202,8,Activa en la Fecha de Actualizacion,2022-07-08,www.ucaldas.edu.co
1113,UNIVERSIDAD DE CORDOBA,891.080.031-3,Principal,Nacional,Oficial,Universidad,Córdoba,Córdoba,,Montería,Carrera 6 No. 77-305,7860300,Ley 37 Congreso de Colombia,1966-08-03,SI,2019-03-22,2956,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unicordoba.edu.co
1114,UNIVERSIDAD SURCOLOMBIANA,891.180.084-2,Principal,Nacional,Oficial,Universidad,Huila,Huila,,Neiva,Avenida Pastrana Borrero Carrera 1,8754753,Ley 13 Congreso de la Rep¿blica,1976-01-30,SI,2017-12-29,29501,4,Activa en la Fecha de Actualizacion,2022-07-08,www.usco.edu.co
1115,UNIVERSIDAD DE LA AMAZONIA,891.190.346-1,Principal,Nacional,Oficial,Universidad,Caquetá,Caquetá,,Florencia,"Avenida Circunvalar, Barrio Porvenir",4352905,Ley 60 Congreso de Colombia,1982-12-30,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.uniamazonia.edu.co
1117,UNIVERSIDAD MILITAR-NUEVA GRANADA,800.225.340,Principal,Nacional,Oficial,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 11 No. 101-80,2159689,Decreto ley 84 Congreso de la Republica,1980-01-23,SI,2015-07-16,10683,6,Activa en la Fecha de Actualizacion,2022-07-08,www.umng.edu.co
1118,UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA,891.680.089-4,Principal,Nacional,Oficial,Universidad,Chocó,Chocó,,Quibdó,Ciudadela Universitaria Barrio Nicolas Medrano,6710237,Ley 38 Congreso de Colombia,1968-11-18,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.utch.edu.co
1119,UNIVERSIDAD DE LOS LLANOS,892.000.757-3,Principal,Nacional,Oficial,Universidad,Meta,Meta,,Villavicencio,"Kil¿metro 12 V¿a Puerto L¿pez, Vereda Barcelona",6616800,Decreto 2513 Gobierno Nacional,1974-11-25,SI,2022-04-08,5310,6,Activa en la Fecha de Actualizacion,2022-07-08,www.rectoria@unillanos.edu.co
1120,UNIVERSIDAD POPULAR DEL CESAR,892.300.285-6,Principal,Nacional,Oficial,Universidad,Cesar,Cesar,,Valledupar,Sede Balneario Hurtado,5843517,Ley 34 Congreso de Colombia.,1976-11-19,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unicesar.edu.co
1121,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,800.144.829-9,Principal,Nacional,Oficial,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Clle 28 No. 6-02,2418800,Ley 48 Congreso de Colombia,1945-12-17,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unicolmayor.edu.co
1122,UNIVERSIDAD DEL PACIFICO,835.000.300-4,Principal,Nacional,Oficial,Universidad,Valle del Cauca,Valle del Cauca,,Buenaventura,Avenida Sim¿n Bolivar  54A-10,2449675,Ley 65 Congreso de la Republica,1988-12-14,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unipacifico.edu.co
1124,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Arauca,Arauca,,Arauca,Kil¿metro 9 v¿a a Ca¿o Lim¿n,8853004,Ley 66 Congreso de la Republica,1969-12-31,SI,2021-08-25,15859,10,Activa en la Fecha de Actualizacion,2022-07-08,www.arauca.unal.edu.co
1125,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Amazonas,Amazonas,,Leticia,km 2 Via Leticia - Tarapaca,5927254,Ley 66 Congreso de la Republica,1969-12-31,SI,2021-08-25,15859,10,Activa en la Fecha de Actualizacion,2022-07-08,www.imani.unal.edu.co
1126,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,Seccional,Nacional,Oficial,Universidad,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina",,San Andrés,Carretera Circunvalar San Luis,5133310,Ley 66 Congreso de la Republica,1969-12-31,SI,2021-08-25,15859,10,Activa en la Fecha de Actualizacion,2022-07-08,www.caribe.unal.edu.co
1201,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,Principal,Departamental,Oficial,Universidad,Antioquia,Antioquia,,Medellín,CLLE 67 No. 51 - 08,2128332,Ley 71 Asamblea,1969-12-31,SI,2012-12-14,16516,10,Activa en la Fecha de Actualizacion,2022-07-08,www.udea.edu.co
1202,UNIVERSIDAD DEL ATLANTICO,890.102.257-3,Principal,Departamental,Oficial,Universidad,Atlántico,Atlántico,,Puerto Colombia,CARRERA 30 No. 8 - 49 PUERTO COLOMBIA - ATL¿NTICO,3162666,Ordenanza 42 Asamblea Departamental del Atlantico,1946-06-15,SI,2019-04-22,4140,4,Activa en la Fecha de Actualizacion,2022-07-08,www.uniatlantico.edu.co
1203,UNIVERSIDAD DEL VALLE,8903990106,Principal,Departamental,Oficial,Universidad,Valle del Cauca,Valle del Cauca,,Cali,"Ciudad Universitaria Melendez, Calle 13 100-00",3212100,Ordenanza 12 Asamblea Departamental del Valle,1945-06-11,SI,2014-01-27,1052,10,Activa en la Fecha de Actualizacion,2022-07-08,www.univalle.edu.co
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,890.201.213-4,Principal,Departamental,Oficial,Universidad,Santander,Santander,,Bucaramanga,Ciudad Universitaria Carrera 27 Calle 9,6344000,Ordenanza 83 Asamblea Departamental de Santander,1944-06-22,SI,2014-04-24,5775,8,Activa en la Fecha de Actualizacion,2022-07-08,www.uis.edu.co
1205,UNIVERSIDAD DE CARTAGENA,890.480.123-5,Principal,Departamental,Oficial,Universidad,Bolívar,Bolívar,,Cartagena de Indias,Centro Carrera 6 No. 36-100,6600676,Decreto 0 el Libertador Sim¿n Bolivar,1899-12-30,SI,2018-02-12,1968,6,Activa en la Fecha de Actualizacion,2022-07-08,www.unicartagena.edu.co
1206,UNIVERSIDAD DE NARIÑO,800.118.954,Principal,Departamental,Oficial,Universidad,Nariño,Nariño,,Pasto,"Torobajo, Carrera 22 No. 18-109",7313604,Decreto 49 Gobernaci¿n de Nari¿o,1904-11-07,SI,2017-05-23,10567,6,Activa en la Fecha de Actualizacion,2022-07-08,www.udenar.edu.co
1207,UNIVERSIDAD DEL TOLIMA,890.700.640,Principal,Departamental,Oficial,Universidad,Tolima,Tolima,,Ibagué,Barrio Santa Elena,2644219,Ordenanza 5 Asamblea Departamental del Tolima,1945-05-21,SI,2020-07-17,13189,4,Activa en la Fecha de Actualizacion,2022-07-08,www.ut.edu.co
1208,UNIVERSIDAD DEL QUINDIO,890.000.432-8,Principal,Departamental,Oficial,Universidad,Quindío,Quindío,,Armenia,Carrera 15 Calle 12 Norte,7460103,Acuerdo 23 Concejo Municipal de Armenia.,1960-10-14,SI,2018-03-07,3902,4,Activa en la Fecha de Actualizacion,2022-07-08,www.uniquindio.edu.co
1209,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,890.500.622,Principal,Departamental,Oficial,Universidad,Norte de Santander,Norte de Santander,,San José de Cúcuta,Avenida Gran Colombia No. 12E-96,5753172,Decreto 323 Gobernacion Departamental de Santander,1970-05-13,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ufps.edu.co
1210,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,800163130-0,Seccional,Departamental,Oficial,Universidad,Norte de Santander,Norte de Santander,,Ocaña,Via El Algodonal,5692199,Decreto 323 GOBIERNO DEPARTAMENTAL,1970-05-13,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ufpso.edu.co
1212,UNIVERSIDAD DE PAMPLONA,890.501.510-4,Principal,Departamental,Oficial,Universidad,Norte de Santander,Norte de Santander,,Pamplona,"Ciudad Universitaria, Km.1 v¿a a Bucaramanga",6853003,Acta 1 Gobernaci¿n del Norte de Santander,1960-11-23,SI,2021-09-27,18143,4,Activa en la Fecha de Actualizacion,2022-07-08,www.unipamplona.edu.co
1213,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,891.780.111-8,Principal,Departamental,Oficial,Universidad,Magdalena,Magdalena,,Santa Marta,Carrera 32 22-08 Sector San Pedro Alejandrino,4301292,Ordenanza 5 Asamblea Departamental del Magdalena,1958-10-27,SI,2021-06-04,10288,6,Activa en la Fecha de Actualizacion,2022-07-08,https://unimagdalena.edu.co
1214,UNIVERSIDAD DE CUNDINAMARCA-UDEC,890.680.062,Principal,Departamental,Oficial,Universidad,Cundinamarca,Cundinamarca,,Fusagasugá,Diagonal 18  No. 20-29,8281483,Ordenanza 45 Asamblea Departamental de Cundinamarca,1969-12-19,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucundinamarca.edu.co
1215,UNIVERSIDAD DE CUNDINAMARCA-UDEC,890.680.062,Seccional,Departamental,Oficial,Universidad,Cundinamarca,Cundinamarca,,Girardot,Calle 19 24-209,8335071,Ordenanza 45 Asamblea Departamental de Cundinamarca.,1969-12-19,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucundinamarca.edu.co
1216,UNIVERSIDAD DE CUNDINAMARCA-UDEC,890.680.062,Seccional,Departamental,Oficial,Universidad,Cundinamarca,Cundinamarca,,Villa de San Diego de Ubaté,Calle 16 No. 9-80,8553055,Ordenanza 45 Asamblea Departamental de Cundinamarca.,1969-12-19,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.ucundinamarca.edu.co
1217,UNIVERSIDAD DE SUCRE,892.200.323-9,Principal,Departamental,Oficial,Universidad,Sucre,Sucre,,Sincelejo,Carrera 28 No. 5 - 267,2821240,Ordenanza 1 Asamblea Departamental de Sucre,1977-11-24,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unisucre.edu.co
1218,UNIVERSIDAD DE LA GUAJIRA,892.115.029-4,Principal,Departamental,Oficial,Universidad,La Guajira,La Guajira,,Riohacha,Kil¿metro 5 v¿a a Maicao,7822729,Decreto 523 Gobierno Departamental de la Guajira,1976-11-12,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.uniguajira.edu.co
1219,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,Seccional,Departamental,Oficial,Universidad,Antioquia,Antioquia,,El Carmen de Viboral,"Km 6 V¿a Rionegro, La Ceja, El Tambo Jurisdicci¿n El Carmen de Viboral",5311177,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,2087,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.udea.edu.co
1221,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,Seccional,Departamental,Oficial,Universidad,Antioquia,Antioquia,,Caucasia,Liceo Municipal Caucasi Carretera.TR Av. Pajonal,8395350,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,2087,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.udea.edu.co
1222,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,Seccional,Departamental,Oficial,Universidad,Antioquia,Antioquia,,Puerto Berrío,Salida  Medell¿n Barrio Cacique,8333522,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,2087,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.udea.edu.co
1223,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,Seccional,Departamental,Oficial,Universidad,Antioquia,Antioquia,,Turbo,Calle 104 entre Carreras 18 A - 19 B.Jes¿s,8272588,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,2087,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.udea.edu.co
1301,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,899.999.230-7,Principal,Municipal,Oficial,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 7 No. 40-53,3239300,Resolución 135 Ministerio de Justicia,1950-12-15,SI,2021-12-10,23653,8,Activa en la Fecha de Actualizacion,2022-07-08,www.udistrital.edu.co
1701,PONTIFICIA UNIVERSIDAD JAVERIANA,860.013.720-1,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 7  40-62,3208130,No informa 73 Ministerio de Gobierno,1933-12-12,SI,2020-07-17,13170,10,Activa en la Fecha de Actualizacion,2022-07-08,www.javeriana.edu.co
1702,PONTIFICIA UNIVERSIDAD JAVERIANA,No Informa,Seccional,Fundación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Clle 18 No. 118-250 Av Cañasgordas,3218200,Resolución 73 MINISTERIO DE GOBIERNO,1933-12-12,SI,2020-07-17,13170,10,Activa en la Fecha de Actualizacion,2022-07-08,www.puj.edu.co
1703,UNIVERSIDAD INCCA DE COLOMBIA,860.011.285-1,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 13 No. 24-15,4442000,Resolución 1891 MINISTERIO DE JUSTICIA.,1963-06-19,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unincca.edu.co
1704,UNIVERSIDAD SANTO TOMAS,860.012.357-6,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.","Sede Ppal Carrera 9  51-11, Sede Norte Cra.10 72-50",5878797,Resolución 3645 MINISTERIO DE JUSTICIA,1965-08-06,SI,2022-03-09,3036,6,Activa en la Fecha de Actualizacion,2022-07-08,www.usta.edu.co
1705,UNIVERSIDAD SANTO TOMAS,860.012.357-6,Seccional,Fundación,Privado,Universidad,Santander,Santander,,Bucaramanga,Carrera 18 No. 9-27,6716482,Resolución 3645 MINISTERIO DE JUSTICIA,1965-08-06,SI,2022-03-09,3036,6,Activa en la Fecha de Actualizacion,2022-07-08,www.ustabuca.edu.co
1706,UNIVERSIDAD EXTERNADO DE COLOMBIA,860.014.918-7,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 12 No. 1-17 Este,3420288,Resolución 92 MINISTERIO DE GOBIERNO,1926-03-09,SI,2021-04-15,6538,8,Activa en la Fecha de Actualizacion,2022-07-08,www.uexternado.edu.co
1707,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,860.006.848-6,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 4  22-61,3341777,No informa 2613 Ministerio de Justicia,1959-08-14,SI,2018-03-21,4624,6,Activa en la Fecha de Actualizacion,2022-07-08,www.utadeo.edu.co
1708,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,860.006.848-6,Seccional,Fundación,Privado,Universidad,Bolívar,Bolívar,,Cartagena de Indias,Zona Norte Anillo Vial kil¿metro 13,6600578,Resolución 2613 MINISTERIO DE JUSTICIA.,1959-08-14,SI,2018-03-21,4624,6,Activa en la Fecha de Actualizacion,2022-07-08,www.utadeo.edu.co
1709,UNIVERSIDAD CENTRAL,860.024.746-1,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 5  21-38,3239868,No informa 1876 Ministerio de Justicia,1967-06-05,SI,2019-01-16,256,4,Activa en la Fecha de Actualizacion,2022-07-08,www.ucentral.edu.co
1710,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,Principal,Fundación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Campus de Laureles Circular 1a. No. 70-01,4488388,No informa 48 Ministerio de Gobierno,1937-02-22,SI,2018-10-24,17228,6,Activa en la Fecha de Actualizacion,2022-07-08,www.upb.edu.co
1711,UNIVERSIDAD DE LA SABANA,860.075.558-1,Principal,Fundación,Privado,Universidad,Cundinamarca,Cundinamarca,,Chía,Campus  Universitario Puente del Com¿n,8615555,Resolución 130 MINISTERIO DE EDUCACION NACIONAL,1980-01-14,SI,2017-03-31,6166,8,Activa en la Fecha de Actualizacion,2022-07-08,www.unisabana.edu.co
1712,UNIVERSIDAD EAFIT-,890.901.389,Principal,Fundación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Carrera 49  No.7 SUR - 50,2619500,No informa 75 Gobernacion Departamental de Antioquia,1960-06-28,SI,2018-02-13,2158,8,Activa en la Fecha de Actualizacion,2022-07-08,www.eafit.edu.co
1713,UNIVERSIDAD DEL NORTE,890.101.681-9,Principal,Fundación,Privado,Universidad,Atlántico,Atlántico,,Barranquilla,Kilometro 5 Via  Pto. Colombia,3509388,No informa 149 Gobernaci¿n Departamento del Atl¿ntico,1966-02-14,SI,2018-05-31,8870,8,Activa en la Fecha de Actualizacion,2022-07-08,www.uninorte.edu.co
1714,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,860.007.759-3,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 12c No. 6-25,2970200,Resolución 58 MINISTERIO DE GOBIERNO.,1969-12-31,SI,2019-12-09,13599,8,Activa en la Fecha de Actualizacion,2022-07-08,www.urosario.edu.co
1715,FUNDACION UNIVERSIDAD DE AMERICA,860.006.806-7,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 4 #19-85 Edificio Fenalco (Sede temporal),3376680,Resolución 417 MINISTERIO DE JUSTICIA.,1958-02-13,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.uamerica.edu.co
1716,UNIVERSIDAD DE SAN BUENAVENTURA,890.307.400-1,Seccional,Fundación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Cra 122 N¿ 6 - 65 via a Pance,3182200,Resolución 1326 MINISTERIO DE EDUCACION NACIONAL,1975-03-25,SI,2021-08-12,14620,6,Activa en la Fecha de Actualizacion,2022-07-08,www.usbcali.edu.co
1717,UNIVERSIDAD DE SAN BUENAVENTURA,890.307.400-1,Seccional,Fundación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Carrera 56C   51-90  Barrio San Benito,4500323,Resolución 1326 MINISTERIO DE EDUCACION NACIONAL.,1975-03-25,SI,2021-08-12,14620,6,Activa en la Fecha de Actualizacion,2022-07-08,www.usb-med.edu.co
1718,UNIVERSIDAD DE SAN BUENAVENTURA,890.307.400-1,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.","Carrera 8H #172-20 , Rector¿a: Cra. 9  No. 123-76 Of.602-603",6671090,Resolución 1326 MINISTERIO DE EDUCACION NACIONAL,1975-03-25,SI,2021-08-12,14620,6,Activa en la Fecha de Actualizacion,2022-07-08,www.usbbog.edu.co
1719,UNIVERSIDAD CATOLICA DE COLOMBIA,860.028.971-9,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Av Caracas No. 46-72,3277300,Resolución 2271 MINISTERIO DE JUSTICIA.,1970-07-07,SI,2019-09-06,9520,4,Activa en la Fecha de Actualizacion,2022-07-08,www.ucatolica.edu.co
1720,UNIVERSIDAD MARIANA,800.092.198-5,Principal,Fundación,Privado,Universidad,Nariño,Nariño,,Pasto,Calle 18 No. 34-104,7314923,No informa 230 Gobierno Departamental de Nari¿o,1970-03-25,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.umariana.edu.co
1722,UNIVERSIDAD DE MANIZALES,890806001-7,Principal,Fundación,Privado,Universidad,Caldas,Caldas,,Manizales,Carrera 9 No. 19-03 Campohermoso,8879680,Resolución 314 MINISTERIO DE EDUCACION NACIONAL,1983-01-21,SI,2019-05-15,4792,6,Activa en la Fecha de Actualizacion,2022-07-08,www.umanizales.edu.co
1723,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,Seccional,Fundación,Privado,Universidad,Santander,Santander,,Bucaramanga,Autopista a Piedecuesta Km. 7,6796220,No informa 48 Ministerio de Gobierno,1937-02-28,SI,2018-10-24,17228,6,Activa en la Fecha de Actualizacion,2022-07-08,www.upb.edu.co
1724,UNIVERSIDAD DE SAN BUENAVENTURA,890.307.400-1,Seccional,Fundación,Privado,Universidad,Bolívar,Bolívar,,Cartagena de Indias,"Calle Real de Ternera, Cartagena",6539599,Resolución 1326 MINISTERIO DE EDUCACION NACIONAL.,1975-03-25,SI,2021-08-12,14620,6,Activa en la Fecha de Actualizacion,2022-07-08,www.usbctg.edu.co
1725,FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-,860.034.667,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.","Calle 13  4-31, Correspondencia: Cra.4 12-85",3343696,Resolución 264 MINISTERIO DE JUSTICIA.,1972-02-04,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.fuac.edu.co
1726,UNIVERSIDAD CATOLICA DE ORIENTE -UCO,890.984.746-7,Principal,Fundación,Privado,Universidad,Antioquia,Antioquia,,Rionegro,Carrera 46 #40B-50 Sector 3,5699090,Resolución 2650 MINISTERIO DE EDUCACION NACIONAL,1983-02-24,SI,2019-09-06,9522,4,Activa en la Fecha de Actualizacion,2022-07-08,www.uco.edu.co
1727,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,Seccional,Fundación,Privado,Universidad,Córdoba,Córdoba,,Montería,Kil¿metro 8 V¿a a Ceret¿,7905088,Resolución 48 MINISTERIO DE GOBIERNO,1937-03-28,SI,2018-10-24,17228,6,Activa en la Fecha de Actualizacion,2022-07-08,www.upbmonteria.edu.co
1728,UNIVERSIDAD SERGIO ARBOLEDA,860.351.894,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle 74 No. 14-14,3177536,Resolución 16377 MINISTERIO DE EDUCACION NACIONAL,1984-10-29,SI,2019-04-05,3659,6,Activa en la Fecha de Actualizacion,2022-07-08,www.usergioarboleda.edu.co
